rows,cols,iters,wrap,lx,ly,h2d_ms,kernel_ms,d2h_ms,total_ms,tiled
1024,1024,1000,0,16,16,0.082963,91.184371,0.080096,91.347430,0
1024,1024,1000,1,16,16,0.082957,87.835795,0.080045,87.998797,0
1024,1024,1000,0,16,16,0.082976,54.065472,0.080198,54.228646,1
1024,1024,1000,1,16,16,0.082944,62.092883,0.080128,62.255955,1
2048,2048,500,0,16,16,0.354758,168.879277,0.335981,169.570016,0
2048,2048,500,1,16,16,0.344211,169.899264,0.331629,170.575104,0
2048,2048,500,0,16,16,0.356461,102.525971,0.324909,103.207341,1
2048,2048,500,1,16,16,0.374451,118.851290,0.339296,119.565037,1
